2024-04-19 12:06:56.579 [main] INFO  com.esprit.demo.DemoApplication - Starting DemoApplication using Java 17.0.10 with PID 10876 (C:\Users\hp\Desktop\cours\spring-boot\demo\target\classes started by hp in C:\Users\hp\Desktop\cours\spring-boot\demo)
2024-04-19 12:06:56.590 [main] INFO  com.esprit.demo.DemoApplication - No active profile set, falling back to 1 default profile: "default"
2024-04-19 12:06:58.578 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-04-19 12:06:58.734 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 138 ms. Found 7 JPA repository interfaces.
2024-04-19 12:06:59.773 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8081 (http)
2024-04-19 12:06:59.796 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-04-19 12:06:59.797 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.18]
2024-04-19 12:06:59.956 [main] INFO  o.a.c.c.C.[.[localhost].[/menu] - Initializing Spring embedded WebApplicationContext
2024-04-19 12:06:59.958 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3253 ms
2024-04-19 12:07:00.273 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-04-19 12:07:00.440 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.1.Final
2024-04-19 12:07:00.522 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2024-04-19 12:07:01.088 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-04-19 12:07:01.153 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-04-19 12:07:01.452 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@36238b12
2024-04-19 12:07:01.455 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2024-04-19 12:07:01.576 [main] WARN  org.hibernate.dialect.Dialect - HHH000511: The 5.5.0 version for [org.hibernate.dialect.MySQLDialect] is no longer supported, hence certain features may not work properly. The minimum supported version is 8.0.0. Check the community dialects project for available legacy versions.
2024-04-19 12:07:03.623 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-04-19 12:07:04.005 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-04-19 12:07:04.616 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2024-04-19 12:07:05.661 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-04-19 12:07:07.392 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8081 (http) with context path '/menu'
2024-04-19 12:07:07.419 [main] INFO  com.esprit.demo.DemoApplication - Started DemoApplication in 11.715 seconds (process running for 13.286)
2024-04-19 12:07:07.429 [scheduling-1] INFO  c.e.demo.service.CommandeService - NSHUFU L YEAR S7I7A : 2024
2024-04-19 12:07:07.866 [scheduling-1] INFO  c.e.demo.service.CommandeService - La commande faite le 2024-03-20 d'un montant global de 100.0 a une note de 7
2024-04-19 12:07:07.866 [scheduling-1] INFO  c.e.demo.service.CommandeService - La commande faite le 2024-03-20 d'un montant global de 10.0 a une note de 5
2024-04-19 12:07:07.867 [scheduling-1] INFO  c.e.demo.service.CommandeService - La commande faite le 2023-03-20 d'un montant global de 10.0 a une note de 5
2024-04-19 12:07:07.868 [scheduling-1] INFO  c.e.demo.service.CommandeService - La commande faite le 2027-03-20 d'un montant global de 10.0 a une note de 5
2024-04-19 12:07:07.868 [scheduling-1] INFO  c.e.demo.service.CommandeService - La commande faite le 2029-03-20 d'un montant global de 10.0 a une note de 5
2024-04-19 12:07:08.875 [scheduling-1] INFO  c.e.demo.service.CommandeService - NSHUFU L YEAR S7I7A : 2024
2024-04-19 12:07:08.893 [scheduling-1] INFO  c.e.demo.service.CommandeService - La commande faite le 2024-03-20 d'un montant global de 100.0 a une note de 7
2024-04-19 12:07:08.895 [scheduling-1] INFO  c.e.demo.service.CommandeService - La commande faite le 2024-03-20 d'un montant global de 10.0 a une note de 5
2024-04-19 12:07:08.896 [scheduling-1] INFO  c.e.demo.service.CommandeService - La commande faite le 2023-03-20 d'un montant global de 10.0 a une note de 5
2024-04-19 12:07:08.897 [scheduling-1] INFO  c.e.demo.service.CommandeService - La commande faite le 2027-03-20 d'un montant global de 10.0 a une note de 5
2024-04-19 12:07:08.898 [scheduling-1] INFO  c.e.demo.service.CommandeService - La commande faite le 2029-03-20 d'un montant global de 10.0 a une note de 5
2024-04-19 12:07:09.910 [scheduling-1] INFO  c.e.demo.service.CommandeService - NSHUFU L YEAR S7I7A : 2024
2024-04-19 12:07:09.932 [scheduling-1] INFO  c.e.demo.service.CommandeService - La commande faite le 2024-03-20 d'un montant global de 100.0 a une note de 7
2024-04-19 12:07:09.932 [scheduling-1] INFO  c.e.demo.service.CommandeService - La commande faite le 2024-03-20 d'un montant global de 10.0 a une note de 5
2024-04-19 12:07:09.932 [scheduling-1] INFO  c.e.demo.service.CommandeService - La commande faite le 2023-03-20 d'un montant global de 10.0 a une note de 5
2024-04-19 12:07:09.933 [scheduling-1] INFO  c.e.demo.service.CommandeService - La commande faite le 2027-03-20 d'un montant global de 10.0 a une note de 5
2024-04-19 12:07:09.933 [scheduling-1] INFO  c.e.demo.service.CommandeService - La commande faite le 2029-03-20 d'un montant global de 10.0 a une note de 5
2024-04-19 12:07:10.938 [scheduling-1] INFO  c.e.demo.service.CommandeService - NSHUFU L YEAR S7I7A : 2024
2024-04-19 12:07:10.959 [scheduling-1] INFO  c.e.demo.service.CommandeService - La commande faite le 2024-03-20 d'un montant global de 100.0 a une note de 7
2024-04-19 12:07:10.960 [scheduling-1] INFO  c.e.demo.service.CommandeService - La commande faite le 2024-03-20 d'un montant global de 10.0 a une note de 5
2024-04-19 12:07:10.960 [scheduling-1] INFO  c.e.demo.service.CommandeService - La commande faite le 2023-03-20 d'un montant global de 10.0 a une note de 5
2024-04-19 12:07:10.961 [scheduling-1] INFO  c.e.demo.service.CommandeService - La commande faite le 2027-03-20 d'un montant global de 10.0 a une note de 5
2024-04-19 12:07:10.961 [scheduling-1] INFO  c.e.demo.service.CommandeService - La commande faite le 2029-03-20 d'un montant global de 10.0 a une note de 5
2024-04-19 12:07:11.967 [scheduling-1] INFO  c.e.demo.service.CommandeService - NSHUFU L YEAR S7I7A : 2024
2024-04-19 12:07:11.986 [scheduling-1] INFO  c.e.demo.service.CommandeService - La commande faite le 2024-03-20 d'un montant global de 100.0 a une note de 7
2024-04-19 12:07:11.986 [scheduling-1] INFO  c.e.demo.service.CommandeService - La commande faite le 2024-03-20 d'un montant global de 10.0 a une note de 5
2024-04-19 12:07:11.987 [scheduling-1] INFO  c.e.demo.service.CommandeService - La commande faite le 2023-03-20 d'un montant global de 10.0 a une note de 5
2024-04-19 12:07:11.987 [scheduling-1] INFO  c.e.demo.service.CommandeService - La commande faite le 2027-03-20 d'un montant global de 10.0 a une note de 5
2024-04-19 12:07:11.988 [scheduling-1] INFO  c.e.demo.service.CommandeService - La commande faite le 2029-03-20 d'un montant global de 10.0 a une note de 5
2024-04-19 12:07:12.996 [scheduling-1] INFO  c.e.demo.service.CommandeService - NSHUFU L YEAR S7I7A : 2024
2024-04-19 12:07:13.017 [scheduling-1] INFO  c.e.demo.service.CommandeService - La commande faite le 2024-03-20 d'un montant global de 100.0 a une note de 7
2024-04-19 12:07:13.018 [scheduling-1] INFO  c.e.demo.service.CommandeService - La commande faite le 2024-03-20 d'un montant global de 10.0 a une note de 5
2024-04-19 12:07:13.019 [scheduling-1] INFO  c.e.demo.service.CommandeService - La commande faite le 2023-03-20 d'un montant global de 10.0 a une note de 5
2024-04-19 12:07:13.019 [scheduling-1] INFO  c.e.demo.service.CommandeService - La commande faite le 2027-03-20 d'un montant global de 10.0 a une note de 5
2024-04-19 12:07:13.020 [scheduling-1] INFO  c.e.demo.service.CommandeService - La commande faite le 2029-03-20 d'un montant global de 10.0 a une note de 5
2024-04-19 12:07:14.024 [scheduling-1] INFO  c.e.demo.service.CommandeService - NSHUFU L YEAR S7I7A : 2024
2024-04-19 12:07:14.042 [scheduling-1] INFO  c.e.demo.service.CommandeService - La commande faite le 2024-03-20 d'un montant global de 100.0 a une note de 7
2024-04-19 12:07:14.043 [scheduling-1] INFO  c.e.demo.service.CommandeService - La commande faite le 2024-03-20 d'un montant global de 10.0 a une note de 5
2024-04-19 12:07:14.043 [scheduling-1] INFO  c.e.demo.service.CommandeService - La commande faite le 2023-03-20 d'un montant global de 10.0 a une note de 5
2024-04-19 12:07:14.043 [scheduling-1] INFO  c.e.demo.service.CommandeService - La commande faite le 2027-03-20 d'un montant global de 10.0 a une note de 5
2024-04-19 12:07:14.043 [scheduling-1] INFO  c.e.demo.service.CommandeService - La commande faite le 2029-03-20 d'un montant global de 10.0 a une note de 5
2024-04-19 12:07:15.054 [scheduling-1] INFO  c.e.demo.service.CommandeService - NSHUFU L YEAR S7I7A : 2024
